Consecutivo;Balota1;Balota2;Balota3;Balota4;Balota5;Super Balota
1;15;28;36;37;41;10
2;1;2;25;31;33;14
3;6;19;25;28;36;1
4;5;6;7;12;37;6
5;1;20;36;39;43;10
6;35;19;12;38;22;1
7;11;19;37;27;28;8
8;15;21;26;28;36;3
9;1;11;28;31;41;9
10;7;22;29;32;41;14
11;8;12;20;36;40;1
12;12;13;25;31;42;16
13;3;26;33;34;38;16
14;3;20;33;34;40;14
15;13;20;26;29;40;7
16;2;9;12;34;40;7
17;9;20;24;31;33;16
18;4;6;14;17;29;5
19;3;4;9;20;32;11
20;18;22;32;37;39;2
21;10;16;18;35;40;6
22;20;22;25;37;43;8
23;1;7;12;19;21;8
24;7;23;30;33;36;4
25;7;23;24;34;39;4
26;14;15;20;25;40;12
27;6;9;15;37;42;16
28;1;27;31;34;36;11
29;3;13;14;17;23;2
30;1;22;31;32;37;16
31;14;25;28;37;41;13
32;4;5;9;13;40;15
33;15;16;18;19;37;11
34;6;14;32;34;42;10
35;1;5;6;13;26;6
36;13;15;18;26;43;3
37;1;6;12;18;36;9
38;4;24;28;36;39;5
39;1;4;13;23;33;9
40;8;16;19;35;41;13
41;1;2;20;31;43;8
42;7;11;23;41;43;11
43;10;17;24;37;42;6
44;10;16;19;23;34;11
45;4;15;22;23;38;11
46;1;10;28;35;41;4
47;3;10;13;21;38;10
48;24;31;32;33;34;6
49;19;22;29;38;39;2
50;2;10;21;23;35;9
51;18;27;38;40;41;16
52;17;26;27;28;40;7
53;2;4;9;15;24;11
54;11;21;31;32;39;1
55;13;20;28;35;40;3
56;22;24;28;34;42;8
57;15;20;25;29;43;10
58;2;4;10;17;37;6
59;1;18;22;30;39;1
60;11;18;23;32;40;2
61;8;12;22;29;39;11
62;9;12;18;37;41;13
63;15;21;25;26;31;4
64;2;5;7;9;28;13
65;2;14;21;27;28;1
66;3;23;28;29;32;2
67;11;15;23;24;25;7
68;11;23;33;36;42;4
69;17;23;25;29;31;6
70;8;14;20;22;42;7
71;6;8;13;29;31;13
72;2;13;14;26;42;8
73;14;30;35;37;40;14
74;1;2;33;34;41;10
75;1;2;4;5;13;10
76;1;5;9;29;42;8
77;7;10;24;31;43;5
78;6;17;23;27;32;7
79;2;6;16;23;43;1
80;6;11;12;17;40;14
81;12;13;15;18;31;1
82;12;19;27;28;41;4
83;1;4;14;21;42;16
84;4;23;27;29;34;12
85;5;6;14;16;35;9
86;9;12;18;32;38;7
87;10;23;25;26;33;1
88;18;34;37;39;41;2
89;5;6;9;39;42;16
90;7;16;18;37;40;8
91;15;28;31;32;35;12
92;8;23;24;32;36;13
93;4;17;27;28;42;4
94;6;20;25;27;43;4
95;7;17;18;30;33;3
96;10;14;18;20;33;6
97;17;26;28;29;42;11
98;3;11;18;24;37;11
99;9;15;19;27;30;2
100;4;7;10;36;41;4
101;13;15;24;33;40;9
102;7;20;36;42;43;7
103;1;12;28;30;33;3
104;3;23;31;35;40;15
105;10;12;16;17;27;6
106;14;27;34;37;43;13
107;10;18;19;36;43;13
108;7;37;38;39;41;3
109;5;6;14;26;31;11
110;11;12;39;40;43;1
111;6;10;23;31;34;3
112;13;16;28;34;37;1
113;13;16;28;34;37;1
114;12;13;23;35;39;16
115;8;11;17;23;39;7
116;9;12;16;18;34;11
117;6;15;19;27;42;16
118;3;16;19;20;23;8
119;1;7;12;26;43;14
120;1;4;18;21;42;2
121;2;8;20;25;27;4
122;3;20;22;24;36;6
123;7;8;18;25;43;6
124;11;12;25;33;39;7
125;16;20;29;33;40;3
126;3;16;18;30;34;16
127;5;7;20;34;37;4
128;8;11;22;35;41;10
129;6;17;31;32;41;13
130;4;13;14;16;33;5
131;21;32;33;34;37;11
132;12;25;32;33;41;10
133;2;13;25;36;43;15
134;2;11;26;33;40;15
135;2;5;9;11;42;9
136;6;16;20;24;30;11
137;5;33;34;41;43;7
138;2;3;22;28;37;8
139;1;12;20;39;41;13
140;6;12;16;21;33;5
141;10;12;34;35;36;9
142;3;22;26;29;36;7
143;17;27;37;38;40;3
144;3;8;10;15;39;9
145;4;22;26;29;36;13
146;8;9;19;23;38;14
147;3;18;34;42;43;4
148;2;5;9;34;42;13
149;8;24;26;33;35;6
150;20;23;35;36;41;14
151;2;4;6;7;13;2
152;10;14;20;21;41;11
153;5;18;19;25;41;11
154;8;16;25;36;37;12
155;19;26;33;34;42;8
156;11;21;27;41;43;12
157;5;13;14;35;42;11
158;19;20;34;38;39;3
159;1;7;11;16;23;3
160;6;20;33;36;41;9
161;8;17;21;25;40;16
162;9;14;28;33;43;1
163;8;20;32;36;40;8
164;5;23;24;29;43;2
165;11;20;21;23;32;12
166;10;12;13;32;38;2
167;1;15;19;21;42;8
168;5;13;22;34;43;2
169;2;4;16;30;40;3
170;3;6;23;25;38;1
171;1;14;15;18;25;13
172;14;20;24;25;39;7
173;4;17;36;37;43;11
174;4;13;25;31;33;5
175;15;27;28;41;42;4
176;3;7;11;39;41;2
177;9;13;31;33;41;3
178;10;14;29;30;42;2
179;9;14;25;26;37;7
180;10;14;19;39;41;1
181;5;20;27;30;38;16
182;2;19;22;28;32;11
183;6;13;15;26;31;3
184;8;15;28;38;42;7
185;7;9;16;24;31;3
186;3;7;11;19;25;3
187;16;18;19;21;38;7
188;16;17;21;22;43;3
189;1;10;23;38;43;7
190;3;5;30;37;39;12
191;1;5;6;8;27;14
192;19;25;28;31;40;11
193;3;10;32;40;42;15
194;3;7;14;19;22;4
195;6;10;12;18;39;7
196;6;22;25;28;40;5
197;2;4;12;18;35;7
198;24;29;34;35;40;13
199;6;8;13;14;37;6
200;5;16;26;32;36;3
201;6;22;33;36;41;13
202;18;20;21;35;43;5
203;3;15;20;23;25;11
204;6;17;24;39;43;16
205;3;4;22;40;41;14
206;20;29;32;34;37;6
207;15;18;24;34;39;4
208;6;7;8;27;34;14
209;3;4;31;34;43;14
210;10;17;24;29;43;14
211;4;8;32;34;40;4
212;1;13;32;37;43;10
213;1;4;8;19;27;5
214;4;11;12;16;26;2
215;1;4;21;30;43;15
216;3;11;27;39;41;4
217;3;17;25;39;42;4
218;3;4;20;25;37;12
219;9;16;20;28;37;5
220;2;10;14;34;40;14
221;2;10;14;34;40;14
222;1;2;22;29;42;16
223;1;3;17;23;32;16
224;1;4;8;22;37;13
225;10;25;29;35;37;5
226;3;8;25;28;40;2
227;10;14;27;35;41;12
228;4;10;20;32;33;15
229;15;16;24;26;32;10
230;6;12;15;26;35;7
231;2;12;16;26;30;2
232;1;2;3;10;31;1
233;1;8;21;34;35;10
234;9;12;31;33;43;11
235;2;18;29;37;39;13
236;6;12;14;15;38;10
237;10;11;15;31;38;5
238;3;12;24;25;26;12
239;9;13;18;19;33;9
240;10;20;25;28;30;3
241;2;11;33;36;38;11
242;6;27;32;40;42;1
243;6;29;34;41;42;16
244;7;22;25;36;37;3
245;10;12;25;27;41;3
246;6;8;13;28;29;8
247;4;8;12;17;35;12
248;11;18;29;35;37;6
249;17;18;33;41;42;8
250;2;11;18;23;43;14
251;11;14;20;30;34;7
252;6;19;23;25;41;7
253;1;19;31;37;39;11
254;18;23;28;33;35;12
255;21;23;26;37;43;11
256;4;11;14;16;36;15
257;1;9;27;29;35;13
258;3;10;20;30;39;11
259;19;23;26;30;36;11
260;4;9;10;35;40;11
261;2;8;9;12;39;13
262;5;13;14;26;31;15
263;4;8;19;20;35;9
264;12;19;20;29;43;1
265;2;11;24;28;39;3
266;3;10;16;25;41;8
267;2;3;4;12;16;10
268;7;16;19;20;37;2
269;2;10;16;23;25;11
270;8;11;13;18;27;12
271;3;7;23;30;35;5
272;2;14;16;17;31;2
273;17;18;20;27;29;11
274;11;19;29;36;40;7
275;2;3;18;21;36;13
276;10;15;16;29;39;16
277;12;15;16;38;39;10
278;4;13;24;39;41;1
279;11;21;33;39;43;8
280;8;19;22;25;38;2
281;8;14;17;23;37;13
282;21;30;35;36;41;2
283;2;9;17;27;42;11
284;24;26;35;36;41;9
285;4;9;15;24;29;7
286;6;29;37;39;43;13
287;10;11;15;28;35;11
288;1;4;29;32;33;2
289;16;28;37;42;43;9
290;2;8;9;25;33;12
291;1;7;10;25;27;2
292;12;22;30;31;34;7
293;17;21;32;36;37;3
294;1;18;19;34;40;2
295;6;14;25;29;42;13
296;4;12;15;33;42;3
297;10;15;20;32;41;14
298;5;8;10;13;20;8
299;1;14;18;22;43;6
300;19;20;24;34;43;5
301;5;8;12;17;43;9
302;5;23;26;32;38;11
303;4;9;14;31;34;15
304;1;4;8;11;36;9
305;8;19;25;36;38;6
306;11;20;21;38;40;9
307;2;3;4;5;29;12
308;4;9;20;35;43;5
309;5;24;27;32;35;15
310;8;11;15;35;40;14
311;9;17;28;31;40;2
312;24;30;37;38;40;7
313;6;10;14;22;39;14
314;16;18;26;37;42;2
315;3;7;12;13;40;13
316;2;11;26;32;41;5
317;4;8;18;25;29;7
318;1;7;14;35;43;12
319;9;12;23;33;36;7
320;2;7;9;12;34;16
321;7;14;16;18;36;11
322;13;25;30;36;41;7
323;1;3;8;28;41;15
324;5;14;28;31;39;10
325;5;29;33;34;39;9
326;8;12;16;21;27;16
327;1;8;14;23;40;11
328;3;30;32;38;41;6
329;22;34;36;37;43;12
330;10;13;22;26;42;5
331;4;5;13;16;41;2
332;5;6;7;28;32;16
333;2;22;24;27;37;6
334;5;12;25;26;43;7
335;2;8;14;19;28;7
336;7;24;29;30;38;5
337;18;24;28;36;40;5
338;4;11;22;25;26;8
339;1;13;24;27;39;16
340;13;29;30;40;42;10
341;2;7;14;25;31;10
342;7;18;23;31;36;14
343;8;17;26;27;31;11
344;10;18;21;24;43;16
345;3;19;20;21;28;13
346;2;10;27;30;31;10
347;7;11;16;30;35;3
