Fecha,Combinación Ganadora.1,Combinación Ganadora.2,Combinación Ganadora.3,Combinación Ganadora.4,Combinación Ganadora.5,Super Balota.
2018-01-06 00:00:00,1,2,4,5,13,10
2018-09-26 00:00:00,2,4,6,7,13,2
2019-11-02 00:00:00,2,3,4,12,16,10
2021-03-06 00:00:00,1,13,16,19,20,2
2020-02-15 00:00:00,5,8,10,13,20,8
2017-07-08 00:00:00,1,7,12,19,21,8
2021-02-13 00:00:00,3,4,5,7,21,16
2019-02-23 00:00:00,3,7,14,19,22,4
2021-03-31 00:00:00,5,7,11,17,22,3
2017-05-10 00:00:00,35,19,12,38,22,1
2020-10-31 00:00:00,1,2,5,16,23,11
2020-12-12 00:00:00,1,3,12,15,23,9
2018-10-24 00:00:00,1,7,11,16,23,3
2017-07-29 00:00:00,3,13,14,17,23,2
2018-06-02 00:00:00,3,16,19,20,23,8
2021-01-27 00:00:00,14,19,21,22,23,2
2017-10-21 00:00:00,2,4,9,15,24,11
2021-04-21 00:00:00,3,12,19,20,24,2
2018-12-05 00:00:00,1,14,15,18,25,13
2019-11-09 00:00:00,2,10,16,23,25,11
2019-01-26 00:00:00,3,7,11,19,25,3
2019-03-27 00:00:00,3,15,20,23,25,11
2021-02-20 00:00:00,4,6,17,24,25,14
2021-02-24 00:00:00,5,7,8,12,25,1
2020-12-05 00:00:00,5,13,19,21,25,13
2017-12-09 00:00:00,11,15,23,24,25,7
2017-08-19 00:00:00,1,5,6,13,26,6
2019-07-24 00:00:00,3,12,24,25,26,12
2019-05-04 00:00:00,4,11,12,16,26,2
2020-08-08 00:00:00,4,11,22,25,26,8
2021-07-21 00:00:00,7,9,15,16,26,11
2019-05-01 00:00:00,1,4,8,19,27,5
2019-02-13 00:00:00,1,5,6,8,27,14
2020-01-22 00:00:00,1,7,10,25,27,2
2018-06-13 00:00:00,2,8,20,25,27,4
2019-11-13 00:00:00,8,11,13,18,27,12
2020-06-27 00:00:00,8,12,16,21,27,16
2018-04-21 00:00:00,10,12,16,17,27,6
2017-11-29 00:00:00,2,5,7,9,28,13
2020-07-29 00:00:00,2,8,14,19,28,7
2017-12-02 00:00:00,2,14,21,27,28,1
2020-09-02 00:00:00,3,19,20,21,28,13
2021-01-16 00:00:00,7,14,18,27,28,4
2017-05-13 00:00:00,11,19,37,27,28,8
2020-03-18 00:00:00,2,3,4,5,29,12
2020-11-11 00:00:00,3,5,11,25,29,6
2017-06-21 00:00:00,4,6,14,17,29,5
2020-05-27 00:00:00,4,8,18,25,29,7
2020-01-04 00:00:00,4,9,15,24,29,7
2021-04-17 00:00:00,5,7,11,16,29,5
2020-12-30 00:00:00,5,19,24,27,29,4
2019-08-21 00:00:00,6,8,13,28,29,8
2019-11-23 00:00:00,17,18,20,27,29,11
2021-06-05 00:00:00,1,4,5,16,30,7
2020-09-30 00:00:00,1,9,13,16,30,5
2019-06-29 00:00:00,2,12,16,26,30,2
2018-08-04 00:00:00,6,16,20,24,30,11
2021-05-19 00:00:00,9,12,16,21,30,1
2018-03-31 00:00:00,9,15,19,27,30,2
2019-07-31 00:00:00,10,20,25,28,30,3
2021-05-01 00:00:00,22,23,27,28,30,3
2019-07-03 00:00:00,1,2,3,10,31,1
2020-08-19 00:00:00,2,7,14,25,31,10
2020-09-05 00:00:00,2,10,27,30,31,10
2019-11-20 00:00:00,2,14,16,17,31,2
2021-05-12 00:00:00,4,23,28,29,31,16
2018-05-05 00:00:00,5,6,14,26,31,11
2019-10-16 00:00:00,5,13,14,26,31,15
2017-12-23 00:00:00,6,8,13,29,31,13
2019-01-16 00:00:00,6,13,15,26,31,3
2019-01-23 00:00:00,7,9,16,24,31,3
2020-08-26 00:00:00,8,17,26,27,31,11
2018-01-27 00:00:00,12,13,15,18,31,1
2017-11-25 00:00:00,15,21,25,26,31,4
2017-12-16 00:00:00,17,23,25,29,31,6
2019-06-01 00:00:00,1,3,17,23,32,16
2019-01-12 00:00:00,2,19,22,28,32,11
2017-06-24 00:00:00,3,4,9,20,32,11
2017-12-06 00:00:00,3,23,28,29,32,2
2020-07-18 00:00:00,5,6,7,28,32,16
2020-10-14 00:00:00,5,8,11,16,32,13
2018-01-17 00:00:00,6,17,23,27,32,7
2021-01-23 00:00:00,7,15,22,25,32,9
2020-11-28 00:00:00,7,15,23,30,32,15
2018-11-14 00:00:00,11,20,21,23,32,12
2019-06-22 00:00:00,15,16,24,26,32,10
2017-04-26 00:00:00,1,2,25,31,33,14
2017-09-02 00:00:00,1,4,13,23,33,9
2021-03-10 00:00:00,1,4,21,27,33,3
2020-01-11 00:00:00,1,4,29,32,33,2
2021-01-30 00:00:00,1,10,11,23,33,10
2018-04-14 00:00:00,1,12,28,30,33,3
2020-01-18 00:00:00,2,8,9,25,33,12
2019-06-19 00:00:00,4,10,20,32,33,15
2018-07-14 00:00:00,4,13,14,16,33,5
2018-12-15 00:00:00,4,13,25,31,33,5
2021-03-03 00:00:00,6,8,15,32,33,13
2018-08-18 00:00:00,6,12,16,21,33,5
2018-03-17 00:00:00,7,17,18,30,33,3
2019-07-27 00:00:00,9,13,18,19,33,9
2021-06-12 00:00:00,9,15,25,27,33,13
2017-06-17 00:00:00,9,20,24,31,33,16
2018-03-21 00:00:00,10,14,18,20,33,6
2018-02-17 00:00:00,10,23,25,26,33,1
2021-07-17 00:00:00,14,18,20,32,33,4
2021-01-02 00:00:00,16,21,24,26,33,8
2020-10-21 00:00:00,1,3,26,33,34,10
2020-12-19 00:00:00,1,8,14,28,34,13
2021-05-05 00:00:00,2,5,10,23,34,7
2020-06-06 00:00:00,2,7,9,12,34,16
2020-11-25 00:00:00,2,21,22,30,34,7
2018-06-30 00:00:00,3,16,18,30,34,16
2020-03-04 00:00:00,4,9,14,31,34,15
2018-02-07 00:00:00,4,23,27,29,34,12
2019-04-13 00:00:00,6,7,8,27,34,14
2018-05-12 00:00:00,6,10,23,31,34,3
2021-08-25 00:00:00,7,18,20,22,34,11
2018-05-26 00:00:00,9,12,16,18,34,11
2017-09-20 00:00:00,10,16,19,23,34,11
2019-09-07 00:00:00,11,14,20,30,34,7
2020-01-25 00:00:00,12,22,30,31,34,7
2017-10-04 00:00:00,24,31,32,33,34,6
2019-07-06 00:00:00,1,8,21,34,35,10
2019-09-28 00:00:00,1,9,27,29,35,13
2019-03-06 00:00:00,2,4,12,18,35,7
2017-10-11 00:00:00,2,10,21,23,35,9
2019-11-16 00:00:00,3,7,23,30,35,5
2021-05-26 00:00:00,3,9,12,34,35,13
2019-08-24 00:00:00,4,8,12,17,35,12
2019-10-19 00:00:00,4,8,19,20,35,9
2018-02-10 00:00:00,5,6,14,16,35,9
2020-12-23 00:00:00,5,12,23,28,35,14
2020-04-29 00:00:00,5,24,27,32,35,15
2019-06-26 00:00:00,6,12,15,26,35,7
2020-09-19 00:00:00,6,14,21,28,35,2
2020-09-09 00:00:00,7,11,16,30,35,3
2021-02-06 00:00:00,7,15,23,29,35,8
2018-09-19 00:00:00,8,24,26,33,35,6
2020-01-08 00:00:00,10,11,15,28,35,11
2021-03-27 00:00:00,13,20,25,30,35,4
2021-03-17 00:00:00,14,28,33,34,35,15
2018-03-03 00:00:00,15,28,31,32,35,12
2019-09-18 00:00:00,18,23,28,33,35,12
2020-03-07 00:00:00,1,4,8,11,36,9
2017-08-26 00:00:00,1,6,12,18,36,9
2017-07-26 00:00:00,1,27,31,34,36,11
2019-11-30 00:00:00,2,3,18,21,36,13
2018-06-16 00:00:00,3,20,22,24,36,6
2018-08-25 00:00:00,3,22,26,29,36,7
2019-09-25 00:00:00,4,11,14,16,36,15
2018-09-05 00:00:00,4,22,26,29,36,13
2019-03-16 00:00:00,5,16,26,32,36,3
2021-04-24 00:00:00,6,10,25,31,36,16
2017-04-29 00:00:00,6,19,25,28,36,1
2021-06-26 00:00:00,6,21,22,34,36,10
2021-07-28 00:00:00,6,22,28,32,36,2
2020-06-10 00:00:00,7,14,16,18,36,11
2020-08-22 00:00:00,7,18,23,31,36,14
2020-12-02 00:00:00,7,19,27,31,36,12
2017-07-12 00:00:00,7,23,30,33,36,4
2021-07-10 00:00:00,8,15,30,35,36,3
2018-03-07 00:00:00,8,23,24,32,36,13
2020-06-03 00:00:00,9,12,23,33,36,7
2018-08-22 00:00:00,10,12,34,35,36,9
2020-09-23 00:00:00,10,20,21,34,36,3
2017-05-17 00:00:00,15,21,26,28,36,3
2019-10-05 00:00:00,19,23,26,30,36,11
2019-06-05 00:00:00,1,4,8,22,37,13
2021-06-02 00:00:00,1,15,22,36,37,13
2017-08-02 00:00:00,1,22,31,32,37,16
2021-07-31 00:00:00,1,27,28,34,37,11
2018-08-11 00:00:00,2,3,22,28,37,8
2017-11-08 00:00:00,2,4,10,17,37,6
2020-09-16 00:00:00,2,19,22,25,37,15
2020-07-22 00:00:00,2,22,24,27,37,6
2019-05-18 00:00:00,3,4,20,25,37,12
2018-03-28 00:00:00,3,11,18,24,37,11
2021-05-08 00:00:00,4,8,9,28,37,11
2017-05-03 00:00:00,5,6,7,12,37,6
2018-07-04 00:00:00,5,7,20,34,37,4
2019-03-13 00:00:00,6,8,13,14,37,6
2019-11-06 00:00:00,7,16,19,20,37,2
2019-08-14 00:00:00,7,22,25,36,37,3
2019-12-21 00:00:00,8,14,17,23,37,13
2018-10-06 00:00:00,8,16,25,36,37,12
2019-01-02 00:00:00,9,14,25,26,37,7
2019-05-22 00:00:00,9,16,20,28,37,5
2020-10-28 00:00:00,9,19,20,36,37,12
2019-06-08 00:00:00,10,25,29,35,37,5
2019-08-28 00:00:00,11,18,29,35,37,6
2020-11-14 00:00:00,12,19,20,33,37,14
2018-05-16 00:00:00,13,16,28,34,37,1
2018-05-17 00:00:00,13,16,28,34,37,1
2017-08-12 00:00:00,15,16,18,19,37,11
2020-01-29 00:00:00,17,21,32,36,37,3
2019-04-06 00:00:00,20,29,32,34,37,6
2018-07-18 00:00:00,21,32,33,34,37,11
2019-08-03 00:00:00,2,11,33,36,38,11
2018-12-01 00:00:00,3,6,23,25,38,1
2017-09-30 00:00:00,3,10,13,21,38,10
2017-06-03 00:00:00,3,26,33,34,38,16
2017-09-23 00:00:00,4,15,22,23,38,11
2019-01-09 00:00:00,5,20,27,30,38,16
2020-02-29 00:00:00,5,23,26,32,38,11
2019-07-17 00:00:00,6,12,14,15,38,10
2021-02-03 00:00:00,6,13,17,33,38,12
2021-06-23 00:00:00,6,19,20,37,38,10
2020-08-01 00:00:00,7,24,29,30,38,5
2018-09-08 00:00:00,8,9,19,23,38,14
2021-08-18 00:00:00,8,12,15,31,38,14
2019-12-18 00:00:00,8,19,22,25,38,2
2020-03-11 00:00:00,8,19,25,36,38,6
2018-02-14 00:00:00,9,12,18,32,38,7
2020-10-03 00:00:00,9,17,28,35,38,1
2019-07-20 00:00:00,10,11,15,31,38,5
2018-11-17 00:00:00,10,12,13,32,38,2
2019-01-30 00:00:00,16,18,19,21,38,7
2021-07-24 00:00:00,21,22,29,30,38,11
2020-10-10 00:00:00,1,2,15,36,39,4
2020-08-12 00:00:00,1,13,24,27,39,16
2017-11-11 00:00:00,1,18,22,30,39,1
2019-09-14 00:00:00,1,19,31,37,39,11
2019-10-12 00:00:00,2,8,9,12,39,13
2019-10-26 00:00:00,2,11,24,28,39,3
2019-07-13 00:00:00,2,18,29,37,39,13
2019-02-09 00:00:00,3,5,30,37,39,12
2018-09-01 00:00:00,3,8,10,15,39,9
2019-10-02 00:00:00,3,10,20,30,39,11
2021-03-13 00:00:00,4,6,27,35,39,2
2017-08-30 00:00:00,4,24,28,36,39,5
2020-06-20 00:00:00,5,14,28,31,39,10
2020-06-24 00:00:00,5,29,33,34,39,9
2019-02-27 00:00:00,6,10,12,18,39,7
2020-05-13 00:00:00,6,10,14,22,39,14
2017-07-15 00:00:00,7,23,24,34,39,4
2018-05-23 00:00:00,8,11,17,23,39,7
2017-11-18 00:00:00,8,12,22,29,39,11
2019-12-04 00:00:00,10,15,16,29,39,16
2018-06-23 00:00:00,11,12,25,33,39,7
2017-10-25 00:00:00,11,21,31,32,39,1
2018-05-19 00:00:00,12,13,23,35,39,16
2019-12-07 00:00:00,12,15,16,38,39,10
2018-12-08 00:00:00,14,20,24,25,39,7
2019-04-10 00:00:00,15,18,24,34,39,4
2017-06-28 00:00:00,18,22,32,37,39,2
2018-10-20 00:00:00,19,20,34,38,39,3
2017-10-07 00:00:00,19,22,29,38,39,2
2020-11-04 00:00:00,22,26,29,30,39,7
2021-06-19 00:00:00,1,5,8,14,40,8
2020-07-01 00:00:00,1,8,14,23,40,11
2021-01-13 00:00:00,1,14,36,37,40,8
2020-02-01 00:00:00,1,18,19,34,40,2
2018-11-28 00:00:00,2,4,16,30,40,3
2017-06-14 00:00:00,2,9,12,34,40,7
2019-05-25 00:00:00,2,10,14,34,40,14
2019-05-26 00:00:00,2,10,14,34,40,14
2018-07-28 00:00:00,2,11,26,33,40,15
2020-10-17 00:00:00,2,21,27,36,40,15
2021-04-03 00:00:00,2,23,30,33,40,16
2020-05-20 00:00:00,3,7,12,13,40,13
2019-06-12 00:00:00,3,8,25,28,40,2
2017-06-07 00:00:00,3,20,33,34,40,14
2018-04-18 00:00:00,3,23,31,35,40,15
2017-08-09 00:00:00,4,5,9,13,40,15
2019-04-24 00:00:00,4,8,32,34,40,4
2019-10-09 00:00:00,4,9,10,35,40,11
2021-02-10 00:00:00,4,15,31,36,40,6
2018-01-24 00:00:00,6,11,12,17,40,14
2019-03-02 00:00:00,6,22,25,28,40,5
2018-02-28 00:00:00,7,16,18,37,40,8
2020-05-02 00:00:00,8,11,15,35,40,14
2017-05-27 00:00:00,8,12,20,36,40,1
2018-10-31 00:00:00,8,17,21,25,40,16
2018-11-07 00:00:00,8,20,32,36,40,8
2020-05-06 00:00:00,9,17,28,31,40,2
2020-12-16 00:00:00,9,24,25,27,40,6
2017-07-01 00:00:00,10,16,18,35,40,6
2017-11-15 00:00:00,11,18,23,32,40,2
2019-11-27 00:00:00,11,19,29,36,40,7
2020-03-14 00:00:00,11,20,21,38,40,9
2021-08-21 00:00:00,12,14,18,37,40,2
2018-04-07 00:00:00,13,15,24,33,40,9
2017-06-10 00:00:00,13,20,26,29,40,7
2017-10-28 00:00:00,13,20,28,35,40,3
2017-07-19 00:00:00,14,15,20,25,40,12
2017-12-30 00:00:00,14,30,35,37,40,14
2018-06-27 00:00:00,16,20,29,33,40,3
2020-11-18 00:00:00,17,20,26,35,40,13
2021-01-20 00:00:00,17,24,26,28,40,16
2017-10-18 00:00:00,17,26,27,28,40,7
2018-08-29 00:00:00,17,27,37,38,40,3
2020-08-05 00:00:00,18,24,28,36,40,5
2019-02-16 00:00:00,19,25,28,31,40,11
2019-03-09 00:00:00,24,29,34,35,40,13
2020-05-09 00:00:00,24,30,37,38,40,7
2018-01-03 00:00:00,1,2,33,34,41,10
2020-06-17 00:00:00,1,3,8,28,41,15
2020-09-26 00:00:00,1,5,18,38,41,10
2017-09-27 00:00:00,1,10,28,35,41,4
2017-05-20 00:00:00,1,11,28,31,41,9
2018-08-15 00:00:00,1,12,20,39,41,13
2020-05-23 00:00:00,2,11,26,32,41,5
2019-04-03 00:00:00,3,4,22,40,41,14
2018-12-22 00:00:00,3,7,11,39,41,2
2019-10-30 00:00:00,3,10,16,25,41,8
2019-05-11 00:00:00,3,11,27,39,41,4
2020-07-04 00:00:00,3,30,32,38,41,6
2020-07-15 00:00:00,4,5,13,16,41,2
2018-04-04 00:00:00,4,7,10,36,41,4
2019-12-11 00:00:00,4,13,24,39,41,1
2018-10-03 00:00:00,5,18,19,25,41,11
2018-07-11 00:00:00,6,17,31,32,41,13
2019-09-11 00:00:00,6,19,23,25,41,7
2018-10-27 00:00:00,6,20,33,36,41,9
2019-03-20 00:00:00,6,22,33,36,41,13
2021-06-09 00:00:00,7,14,20,34,41,4
2017-05-24 00:00:00,7,22,29,32,41,14
2018-05-02 00:00:00,7,37,38,39,41,3
2018-07-07 00:00:00,8,11,22,35,41,10
2017-09-06 00:00:00,8,16,19,35,41,13
2017-11-22 00:00:00,9,12,18,37,41,13
2018-12-26 00:00:00,9,13,31,33,41,3
2020-09-12 00:00:00,10,11,37,40,41,9
2019-08-17 00:00:00,10,12,25,27,41,3
2019-01-05 00:00:00,10,14,19,39,41,1
2018-09-29 00:00:00,10,14,20,21,41,11
2019-06-15 00:00:00,10,14,27,35,41,12
2020-02-12 00:00:00,10,15,20,32,41,14
2018-01-31 00:00:00,12,19,27,28,41,4
2018-07-21 00:00:00,12,25,32,33,41,10
2020-10-07 00:00:00,13,22,27,40,41,5
2020-06-13 00:00:00,13,25,30,36,41,7
2021-08-07 00:00:00,14,18,20,39,41,5
2017-08-05 00:00:00,14,25,28,37,41,13
2017-04-22 00:00:00,15,28,36,37,41,10
2017-10-14 00:00:00,18,27,38,40,41,16
2018-02-21 00:00:00,18,34,37,39,41,2
2018-09-22 00:00:00,20,23,35,36,41,14
2021-07-03 00:00:00,21,22,23,33,41,8
2019-12-25 00:00:00,21,30,35,36,41,2
2020-01-01 00:00:00,24,26,35,36,41,9
2019-05-29 00:00:00,1,2,22,29,42,16
