Secuencia;Balota1;Balota2;Balota3;Balota4;Balota5;Super Balota
1;1;2;4;5;13;10
2;2;4;6;7;13;2
3;2;3;4;12;16;10
4;1;13;16;19;20;2
5;5;8;10;13;20;8
6;1;7;12;19;21;8
7;3;4;5;7;21;16
8;3;7;14;19;22;4
9;5;7;11;17;22;3
10;35;19;12;38;22;1
11;1;2;5;16;23;11
12;1;3;12;15;23;9
13;1;7;11;16;23;3
14;3;13;14;17;23;2
15;3;16;19;20;23;8
16;14;19;21;22;23;2
17;2;4;9;15;24;11
18;3;12;19;20;24;2
19;1;14;15;18;25;13
20;2;10;16;23;25;11
21;3;7;11;19;25;3
22;3;15;20;23;25;11
23;4;6;17;24;25;14
24;5;7;8;12;25;1
25;5;13;19;21;25;13
26;11;15;23;24;25;7
27;1;5;6;13;26;6
28;3;12;24;25;26;12
29;4;11;12;16;26;2
30;4;11;22;25;26;8
31;7;9;15;16;26;11
32;1;4;8;19;27;5
33;1;5;6;8;27;14
34;1;7;10;25;27;2
35;2;8;20;25;27;4
36;8;11;13;18;27;12
37;8;12;16;21;27;16
38;10;12;16;17;27;6
39;2;5;7;9;28;13
40;2;8;14;19;28;7
41;2;14;21;27;28;1
42;3;19;20;21;28;13
43;7;14;18;27;28;4
44;11;19;37;27;28;8
45;2;3;4;5;29;12
46;3;5;11;25;29;6
47;4;6;14;17;29;5
48;4;8;18;25;29;7
49;4;9;15;24;29;7
50;5;7;11;16;29;5
51;5;19;24;27;29;4
52;6;8;13;28;29;8
53;17;18;20;27;29;11
54;1;4;5;16;30;7
55;1;9;13;16;30;5
56;2;12;16;26;30;2
57;6;16;20;24;30;11
58;9;12;16;21;30;1
59;9;15;19;27;30;2
60;10;20;25;28;30;3
61;22;23;27;28;30;3
62;1;2;3;10;31;1
63;2;7;14;25;31;10
64;2;10;27;30;31;10
65;2;14;16;17;31;2
66;4;23;28;29;31;16
67;5;6;14;26;31;11
68;5;13;14;26;31;15
69;6;8;13;29;31;13
70;6;13;15;26;31;3
71;7;9;16;24;31;3
72;8;17;26;27;31;11
73;12;13;15;18;31;1
74;15;21;25;26;31;4
75;17;23;25;29;31;6
76;1;3;17;23;32;16
77;2;19;22;28;32;11
78;3;4;9;20;32;11
79;3;23;28;29;32;2
80;5;6;7;28;32;16
81;5;8;11;16;32;13
82;6;17;23;27;32;7
83;7;15;22;25;32;9
84;7;15;23;30;32;15
85;11;20;21;23;32;12
86;15;16;24;26;32;10
87;1;2;25;31;33;14
88;1;4;13;23;33;9
89;1;4;21;27;33;3
90;1;4;29;32;33;2
91;1;10;11;23;33;10
92;1;12;28;30;33;3
93;2;8;9;25;33;12
94;4;10;20;32;33;15
95;4;13;14;16;33;5
96;4;13;25;31;33;5
97;6;8;15;32;33;13
98;6;12;16;21;33;5
99;7;17;18;30;33;3
100;9;13;18;19;33;9
101;9;15;25;27;33;13
102;9;20;24;31;33;16
103;10;14;18;20;33;6
104;10;23;25;26;33;1
105;14;18;20;32;33;4
106;16;21;24;26;33;8
107;1;3;26;33;34;10
108;1;8;14;28;34;13
109;2;5;10;23;34;7
110;2;7;9;12;34;16
111;2;21;22;30;34;7
112;3;16;18;30;34;16
113;4;9;14;31;34;15
114;4;23;27;29;34;12
115;6;7;8;27;34;14
116;6;10;23;31;34;3
117;7;18;20;22;34;11
118;9;12;16;18;34;11
119;10;16;19;23;34;11
120;11;14;20;30;34;7
121;12;22;30;31;34;7
122;24;31;32;33;34;6
123;1;8;21;34;35;10
124;1;9;27;29;35;13
125;2;4;12;18;35;7
126;2;10;21;23;35;9
127;3;7;23;30;35;5
128;3;9;12;34;35;13
129;4;8;12;17;35;12
130;4;8;19;20;35;9
131;5;6;14;16;35;9
132;5;12;23;28;35;14
133;5;24;27;32;35;15
134;6;12;15;26;35;7
135;6;14;21;28;35;2
136;7;11;16;30;35;3
137;7;15;23;29;35;8
138;8;24;26;33;35;6
139;10;11;15;28;35;11
140;13;20;25;30;35;4
141;14;28;33;34;35;15
142;15;28;31;32;35;12
143;18;23;28;33;35;12
144;1;4;8;11;36;9
145;1;6;12;18;36;9
146;1;27;31;34;36;11
147;2;3;18;21;36;13
148;3;20;22;24;36;6
149;3;22;26;29;36;7
150;4;11;14;16;36;15
151;4;22;26;29;36;13
152;5;16;26;32;36;3
153;6;10;25;31;36;16
154;6;19;25;28;36;1
155;6;21;22;34;36;10
156;6;22;28;32;36;2
157;7;14;16;18;36;11
158;7;18;23;31;36;14
159;7;19;27;31;36;12
160;7;23;30;33;36;4
161;8;15;30;35;36;3
162;8;23;24;32;36;13
163;9;12;23;33;36;7
164;10;12;34;35;36;9
165;10;20;21;34;36;3
166;15;21;26;28;36;3
167;19;23;26;30;36;11
168;1;4;8;22;37;13
169;1;15;22;36;37;13
170;1;22;31;32;37;16
171;1;27;28;34;37;11
172;2;3;22;28;37;8
173;2;4;10;17;37;6
174;2;19;22;25;37;15
175;2;22;24;27;37;6
176;3;4;20;25;37;12
177;3;11;18;24;37;11
178;4;8;9;28;37;11
179;5;6;7;12;37;6
180;5;7;20;34;37;4
181;6;8;13;14;37;6
182;7;16;19;20;37;2
183;7;22;25;36;37;3
184;8;14;17;23;37;13
185;8;16;25;36;37;12
186;9;14;25;26;37;7
187;9;16;20;28;37;5
188;9;19;20;36;37;12
189;10;25;29;35;37;5
190;11;18;29;35;37;6
191;12;19;20;33;37;14
192;13;16;28;34;37;1
193;13;16;28;34;37;1
194;15;16;18;19;37;11
195;17;21;32;36;37;3
196;20;29;32;34;37;6
197;21;32;33;34;37;11
198;2;11;33;36;38;11
199;3;6;23;25;38;1
200;3;10;13;21;38;10
201;3;26;33;34;38;16
202;4;15;22;23;38;11
203;5;20;27;30;38;16
204;5;23;26;32;38;11
205;6;12;14;15;38;10
206;6;13;17;33;38;12
207;6;19;20;37;38;10
208;7;24;29;30;38;5
209;8;9;19;23;38;14
210;8;12;15;31;38;14
211;8;19;22;25;38;2
212;8;19;25;36;38;6
213;9;12;18;32;38;7
214;9;17;28;35;38;1
215;10;11;15;31;38;5
216;10;12;13;32;38;2
217;16;18;19;21;38;7
218;21;22;29;30;38;11
219;1;2;15;36;39;4
220;1;13;24;27;39;16
221;1;18;22;30;39;1
222;1;19;31;37;39;11
223;2;8;9;12;39;13
224;2;11;24;28;39;3
225;2;18;29;37;39;13
226;3;5;30;37;39;12
227;3;8;10;15;39;9
228;3;10;20;30;39;11
229;4;6;27;35;39;2
230;4;24;28;36;39;5
231;5;14;28;31;39;10
232;5;29;33;34;39;9
233;6;10;12;18;39;7
234;6;10;14;22;39;14
235;7;23;24;34;39;4
236;8;11;17;23;39;7
237;8;12;22;29;39;11
238;10;15;16;29;39;16
239;11;12;25;33;39;7
240;11;21;31;32;39;1
241;12;13;23;35;39;16
242;12;15;16;38;39;10
243;14;20;24;25;39;7
244;15;18;24;34;39;4
245;18;22;32;37;39;2
246;19;20;34;38;39;3
247;19;22;29;38;39;2
